match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_margin,player_of_match
160,2024,2024-04-05,Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,bat,Kolkata Knight Riders,5 wickets,SV Samson
161,2024,2024-04-02,Lucknow Super Giants,Punjab Kings,Arun Jaitley Stadium,Delhi,Punjab Kings,field,Lucknow Super Giants,8 wickets,KL Rahul
162,2024,2024-04-12,Royal Challengers Bengaluru,Punjab Kings,Narendra Modi Stadium,Ahmedabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,6 wickets,V Kohli
163,2024,2024-04-17,Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Bengaluru,Mumbai Indians,bat,Mumbai Indians,7 wickets,DP Conway
164,2024,2024-04-27,Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai,Rajasthan Royals,bat,Kolkata Knight Riders,10 wickets,RG Sharma
165,2024,2024-05-14,Sunrisers Hyderabad,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Hyderabad,Gujarat Titans,field,Gujarat Titans,78 runs,RR Pant
166,2024,2024-04-28,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Bengaluru,Mumbai Indians,bat,Mumbai Indians,8 wickets,Mohammed Siraj
167,2024,2024-04-18,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,67 runs,SV Samson
168,2024,2024-05-05,Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,Bengaluru,Chennai Super Kings,field,Punjab Kings,10 wickets,SA Yadav
169,2024,2024-04-21,Royal Challengers Bengaluru,Rajasthan Royals,M. Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,14 runs,MS Dhoni
170,2024,2024-05-11,Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,Delhi,Punjab Kings,field,Mumbai Indians,54 runs,AR Patel
171,2024,2024-04-09,Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,Delhi,Punjab Kings,field,Punjab Kings,45 runs,DP Conway
172,2024,2024-05-08,Delhi Capitals,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Hyderabad,Gujarat Titans,bat,Delhi Capitals,82 runs,HH Pandya
173,2024,2024-04-14,Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Delhi,Rajasthan Royals,field,Rajasthan Royals,8 wickets,MS Dhoni
174,2024,2024-05-02,Gujarat Titans,Chennai Super Kings,M. Chinnaswamy Stadium,Bengaluru,Gujarat Titans,field,Gujarat Titans,33 runs,JC Buttler
175,2024,2024-04-08,Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Lucknow Super Giants,6 wickets,RG Sharma
176,2024,2024-04-21,Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,Delhi,Rajasthan Royals,field,Lucknow Super Giants,10 wickets,SV Samson
177,2024,2024-03-27,Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Bengaluru,Lucknow Super Giants,field,Lucknow Super Giants,61 runs,MS Dhoni
178,2024,2024-04-22,Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Bengaluru,Delhi Capitals,bat,Delhi Capitals,9 wickets,RD Gaikwad
179,2024,2024-04-21,Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,9 wickets,DA Warner
180,2024,2024-05-14,Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,Bengaluru,Punjab Kings,field,Mumbai Indians,10 wickets,DA Warner
181,2024,2024-04-20,Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Delhi,Rajasthan Royals,field,Rajasthan Royals,70 runs,Mohammed Siraj
182,2024,2024-04-09,Royal Challengers Bengaluru,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Hyderabad,Delhi Capitals,bat,Royal Challengers Bengaluru,7 wickets,MS Dhoni
183,2024,2024-04-02,Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Bengaluru,Delhi Capitals,bat,Delhi Capitals,23 runs,RD Gaikwad
184,2024,2024-04-19,Royal Challengers Bengaluru,Lucknow Super Giants,Wankhede Stadium,Mumbai,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,6 wickets,KL Rahul
185,2024,2024-04-14,Royal Challengers Bengaluru,Kolkata Knight Riders,Narendra Modi Stadium,Ahmedabad,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,6 wickets,HH Pandya
186,2024,2024-05-10,Royal Challengers Bengaluru,Gujarat Titans,Wankhede Stadium,Mumbai,Gujarat Titans,bat,Gujarat Titans,54 runs,SV Samson
187,2024,2024-05-02,Rajasthan Royals,Royal Challengers Bengaluru,Narendra Modi Stadium,Ahmedabad,Royal Challengers Bengaluru,field,Rajasthan Royals,8 wickets,SV Samson
188,2024,2024-03-30,Delhi Capitals,Royal Challengers Bengaluru,Eden Gardens,Kolkata,Delhi Capitals,bat,Royal Challengers Bengaluru,64 runs,RR Pant
189,2024,2024-04-29,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,Mumbai Indians,bat,Mumbai Indians,6 wickets,Mohammed Siraj
190,2024,2024-05-04,Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,8 wickets,HH Pandya
191,2024,2024-05-03,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders,68 runs,DA Warner
192,2024,2024-04-13,Royal Challengers Bengaluru,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,Sunrisers Hyderabad,field,Sunrisers Hyderabad,6 wickets,SV Samson
193,2024,2024-04-09,Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,bat,Gujarat Titans,56 runs,DP Conway
194,2024,2024-04-04,Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,14 runs,SV Samson
195,2024,2024-04-17,Gujarat Titans,Rajasthan Royals,MA Chidambaram Stadium,Chennai,Gujarat Titans,field,Gujarat Titans,14 runs,DA Warner
196,2024,2024-04-02,Royal Challengers Bengaluru,Gujarat Titans,Narendra Modi Stadium,Ahmedabad,Royal Challengers Bengaluru,field,Gujarat Titans,20 runs,RR Pant
197,2024,2024-04-22,Gujarat Titans,Punjab Kings,Rajiv Gandhi Intl. Stadium,Hyderabad,Punjab Kings,field,Gujarat Titans,77 runs,SA Yadav
198,2024,2024-03-29,Mumbai Indians,Lucknow Super Giants,Eden Gardens,Kolkata,Lucknow Super Giants,field,Mumbai Indians,9 wickets,DA Warner
199,2024,2024-03-26,Royal Challengers Bengaluru,Punjab Kings,Wankhede Stadium,Mumbai,Punjab Kings,field,Royal Challengers Bengaluru,6 wickets,Mohammed Siraj
200,2024,2024-04-23,Punjab Kings,Sunrisers Hyderabad,Narendra Modi Stadium,Ahmedabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,18 runs,RD Gaikwad
201,2024,2024-04-13,Delhi Capitals,Royal Challengers Bengaluru,M. Chinnaswamy Stadium,Bengaluru,Delhi Capitals,bat,Delhi Capitals,9 wickets,V Kohli
202,2024,2024-04-09,Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,Delhi Capitals,field,Rajasthan Royals,48 runs,HH Pandya
203,2024,2024-04-25,Chennai Super Kings,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Hyderabad,Chennai Super Kings,field,Chennai Super Kings,15 runs,RD Gaikwad
204,2024,2024-04-25,Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,field,Delhi Capitals,49 runs,RD Gaikwad
205,2024,2024-04-17,Royal Challengers Bengaluru,Mumbai Indians,MA Chidambaram Stadium,Chennai,Mumbai Indians,field,Royal Challengers Bengaluru,10 wickets,MS Dhoni
206,2024,2024-04-17,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,Chennai Super Kings,5 wickets,RG Sharma
207,2024,2024-03-30,Chennai Super Kings,Royal Challengers Bengaluru,Arun Jaitley Stadium,Delhi,Royal Challengers Bengaluru,field,Chennai Super Kings,9 wickets,Mohammed Siraj
208,2024,2024-04-05,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,bat,Gujarat Titans,9 wickets,RD Gaikwad
